新出房源，业主诚售，单价低，楼层好，视野开阔,信和花园 , 4室2厅 , 156.48平米 ,81人关注 , 共46次带看 , 30天以前发布,980,单价62628元/平米,https://sh.lianjia.com/ershoufang/107100334644.html,浦东,1 
云海苑南京西路商圈，顶楼复式全看视野好，诚意出售,云海苑 , 5室3厅 , 374.47平米 ,19人关注 , 共9次带看 , 5个月以前发布,3299,单价88098元/平米,https://sh.lianjia.com/ershoufang/107002313183.html,静安,2
苏州河畔朝南一房  低总价 房型正气  视野无遮挡,良友高层 , 1室1厅 , 45.7平米 ,22人关注 , 共6次带看 , 5个月以前发布,420,单价91904元/平米,https://sh.lianjia.com/ershoufang/107002317147.html,静安,2
广延路52弄 2室1厅 340万,广延路52弄 , 2室1厅 , 47.77平米 ,2人关注 , 共2次带看 , 19天以前发布,340,单价71175元/平米,https://sh.lianjia.com/ershoufang/107100367053.html,闸北,2
万荣小区 2室1厅 330万,万荣小区 , 2室1厅 , 55.11平米 ,7人关注 , 共7次带看 , 16天以前发布,330,单价59881元/平米,https://sh.lianjia.com/ershoufang/107100375192.html,闸北,2
自住新装修，满五唯一，产权清晰，无抵押,复元坊 , 1室1厅 , 34.28平米 ,76人关注 , 共0次带看 , 一年前发布,273,单价79639元/平米,https://sh.lianjia.com/ershoufang/107001140285.html,闸北,2
苏州河边小户型三房，实用性高。,安源小区 , 3室1厅 , 93.89平米 ,33人关注 , 共0次带看 , 9个月以前发布,690,单价73491元/平米,https://sh.lianjia.com/ershoufang/107002185363.html,闸北,2
精装修，拎包入住，近和平公园，看房预约房东诚意出售,打虎大楼 , 2室0厅 , 61.82平米 ,34人关注 , 共6次带看 , 9个月以前发布,450,单价72792元/平米,https://sh.lianjia.com/ershoufang/107002147033.html,杨浦,2
公园三千满五唯一 五角场电梯黄兴公园大润发,公园3000黄兴花园 , 2室2厅 , 110.98平米 ,62人关注 , 共2次带看 , 9个月以前发布,870,单价78393元/平米,https://sh.lianjia.com/ershoufang/107002155675.html,杨浦,2
德华三村 精装小三房 得房率高 总价低 楼层方便,德华三村 , 3室2厅 , 84.9平米 ,30人关注 , 共0次带看 , 6个月以前发布,329,单价38752元/平米,https://sh.lianjia.com/ershoufang/107002270685.html,嘉定,2
动迁房满五唯一，位置居中，诚意出售，看房随时！,中房公寓 , 3室2厅 , 92.7平米 ,36人关注 , 共11次带看 , 3个月以前发布,385,单价41532元/平米,https://sh.lianjia.com/ershoufang/107100083619.html,嘉定,2
精装两房+满五唯一+产权清晰+南北通透+配套成熟,中虹华苑 , 2室2厅 , 73.12平米 ,30人关注 , 共15次带看 , 2个月以前发布,320,单价43764元/平米,https://sh.lianjia.com/ershoufang/107100203993.html,嘉定,2
本房是小区三房在卖中很实在的一套房，位置好采光足,富友嘉园 , 3室2厅 , 91.77平米 ,140人关注 , 共2次带看 , 一年前发布,315,单价34325元/平米,https://sh.lianjia.com/ershoufang/107001094259.html,嘉定,2
正气朝南户型+业主自住+诚意卖房,三元及地苑 , 2室2厅 , 107.13平米 ,20人关注 , 共5次带看 , 一年前发布,550,单价51340元/平米,https://sh.lianjia.com/ershoufang/107001385599.html,嘉定,2
金山吕巷绿地路易宫别墅+业主一手买进从未入住过,绿地路易宫(别墅) , 4室3厅 , 263.39平米 ,1人关注 , 共0次带看 , 11个月以前发布,726,单价27564元/平米,https://sh.lianjia.com/ershoufang/107001052301.html,金山,2
金昌苑(四期) 3室2厅 278万,金昌苑(四期) , 3室2厅 , 101.2平米 ,0人关注 , 共0次带看 , 一年前发布,278,单价27471元/平米,https://sh.lianjia.com/ershoufang/107002030273.html,金山,2
采光优秀 温馨之家 好房好心情 幸福之家,城西花苑 , 3室2厅 , 159.54平米 ,5人关注 , 共1次带看 , 8个月以前发布,210,单价13163元/平米,https://sh.lianjia.com/ershoufang/107002199309.html,金山,2
东礁一村2房146万，税费少，成熟小区，业主置换新房！,东礁一村 , 2室1厅 , 77.83平米 ,5人关注 , 共0次带看 , 3个月以前发布,146,单价18759元/平米,https://sh.lianjia.com/ershoufang/107100112046.html,金山,2
钥匙在手！产权清晰！诚意售！低总价！中间楼层采光好,长宁路1488弄 , 1室1厅 , 34.9平米 ,54人关注 , 共21次带看 , 6个月以前发布,210,单价60172元/平米,https://sh.lianjia.com/ershoufang/107002273865.html,长宁,2
业主诚意出售，看房方便，价格可谈，高层,凯欣豪园 , 2室2厅 , 118.06平米 ,3人关注 , 共2次带看 , 29天以前发布,1100,单价93173元/平米,https://sh.lianjia.com/ershoufang/107100338515.html,长宁,2
两房朝南带电梯 主卧朝南带阳台 满五唯一 随时看房,镇宁路465弄 , 2室1厅 , 59.96平米 ,2人关注 , 共1次带看 , 23天以前发布,550,单价91728元/平米,https://sh.lianjia.com/ershoufang/107100354074.html,长宁,2
内环中山公园，环境优美，闹中取静，交通便利配套齐全,金都苑 , 3室2厅 , 142.08平米 ,8人关注 , 共2次带看 , 21天以前发布,950,单价66864元/平米,https://sh.lianjia.com/ershoufang/107100360326.html,长宁,2
满五唯一税费少、中楼层、一南一北、前无遮挡。,武定西路1371弄 , 2室1厅 , 52.5平米 ,6人关注 , 共9次带看 , 18天以前发布,420,单价80000元/平米,https://sh.lianjia.com/ershoufang/107100372232.html,长宁,2
国家会展旁，独栋大花园小区。。,西郊大公馆 , 独栋别墅 , 5室3厅 ,33人关注 , 共2次带看 , 4个月以前发布,3880,单价77965元/平米,https://sh.lianjia.com/ershoufang/107100001740.html,青浦,1
东方庭院 精装修联排别墅 满五唯一 有钥匙看房方便,东方庭院(别墅) , 3室3厅 , 228.98平米 ,45人关注 , 共2次带看 , 3个月以前发布,580,单价25330元/平米,https://sh.lianjia.com/ershoufang/107100055335.html,青浦,1
吉富绅花园 2室2厅 320万,吉富绅花园 , 2室2厅 , 98.3平米 ,15人关注 , 共1次带看 , 8个月以前发布,320,单价32554元/平米,https://sh.lianjia.com/ershoufang/107000013095.html,青浦,1
盈港新村三房 采光和通风都很好 视野开阔 房东诚意卖,盈港新村 , 3室2厅 , 103.29平米 ,12人关注 , 共0次带看 , 一年前发布,298,单价28851元/平米,https://sh.lianjia.com/ershoufang/107001172351.html,青浦,1
精装修精品房  大虹桥板块区域 拎包入住 赠送产权车位,金地天御 , 2室2厅 , 87.06平米 ,33人关注 , 共0次带看 , 一年前发布,550,单价63175元/平米,https://sh.lianjia.com/ershoufang/107001236313.html,青浦,1
新虹桥雅苑 精致1房 全明户型 景观房 精装,新虹桥雅苑 , 1室2厅 , 60.37平米 ,12人关注 , 共2次带看 , 5个月以前发布,385,单价63774元/平米,https://sh.lianjia.com/ershoufang/107001958729.html,青浦,1
欣乐苑 2室2厅 285万,欣乐苑 , 2室2厅 , 72平米 ,37人关注 , 共0次带看 , 10个月以前发布,285,单价39584元/平米,https://sh.lianjia.com/ershoufang/107002098771.html,青浦,1
崇明生态岛上70年住宅产权 洋房品质小区精装修交付,绿岛阳光苑 , 5室3厅 , 265平米 ,7人关注 , 共0次带看 , 4个月以前发布,720,单价27170元/平米,https://sh.lianjia.com/ershoufang/107100017003.html,崇明,2
全南户型三房，满五年唯一税费少，看房有钥匙随时方便,东苑新村 , 3室1厅 , 85.36平米 ,22人关注 , 共0次带看 , 3个月以前发布,135,单价15816元/平米,https://sh.lianjia.com/ershoufang/107100091012.html,崇明,2
新环路66弄 2室2厅 176万,新环路66弄 , 2室2厅 , 76.58平米 ,1人关注 , 共0次带看 , 3个月以前发布,176,单价22983元/平米,https://sh.lianjia.com/ershoufang/107100123829.html,崇明,2
两房朝南的，客厅南北通，次卧朝北，全明设计。,富源花苑 , 2室2厅 , 108.19平米 ,2人关注 , 共0次带看 , 2个月以前发布,200,单价18486元/平米,https://sh.lianjia.com/ershoufang/107100189955.html,崇明,2
大华凤凰佳苑 1室1厅 162万,大华凤凰佳苑 , 1室1厅 , 51.54平米 ,7人关注 , 共0次带看 , 2个月以前发布,162,单价31432元/平米,https://sh.lianjia.com/ershoufang/107100212275.html,崇明,2
鑫苑国际城市花园 2室2厅 190万,鑫苑国际城市花园 , 2室2厅 , 81.85平米 ,2人关注 , 共0次带看 , 6个月以前发布,190,单价23214元/平米,https://sh.lianjia.com/ershoufang/107002291519.html,上海周边,2
鑫苑国际城市花园 2室1厅 165万,鑫苑国际城市花园 , 2室1厅 , 89平米 ,7人关注 , 共1次带看 , 2个月以前发布,165,单价18540元/平米,https://sh.lianjia.com/ershoufang/107100197718.html,上海周边,2
常发香城湾 3室2厅 185万,常发香城湾 , 3室2厅 , 94.69平米 ,6人关注 , 共0次带看 , 一年前发布,185,单价19538元/平米,https://sh.lianjia.com/ershoufang/107001021317.html,上海周边,2
千灯裕花园 2室2厅 130万,千灯裕花园 , 2室2厅 , 115.89平米 ,53人关注 , 共0次带看 , 一年前发布,130,单价11218元/平米,https://sh.lianjia.com/ershoufang/107002015879.html,上海周边,2
海上普罗旺斯位于崇明岛的中北部毗领规划中北湖水景区,海上普罗旺斯 , 4室3厅 , 183.84平米 ,33人关注 , 共0次带看 , 一年前发布,140,单价7616元/平米,https://sh.lianjia.com/ershoufang/107002017521.html,上海周边,2
11号地铁线，房东诚意出售，配套齐全，交通便利,中城花园虹梅苑 , 3室2厅 , 123平米 ,28人关注 , 共0次带看 , 11个月以前发布,180,单价14635元/平米,https://sh.lianjia.com/ershoufang/107002066635.html,上海周边,2
湖山樾 4室3厅 450万,湖山樾 , 4室3厅 , 256.17平米 ,3人关注 , 共0次带看 , 10个月以前发布,450,单价17567元/平米,https://sh.lianjia.com/ershoufang/107002098417.html,上海周边,2
徐家汇花园 3室2厅 1100万,徐家汇花园 , 3室2厅 , 127平米 ,147人关注 , 共1次带看 , 一年前发布,1100,单价86615元/平米,https://sh.lianjia.com/ershoufang/107000196835.html,徐汇,1
品质小区+板式南北通透+繁华商圈+交通便利+诚意出售,衡园 , 2室2厅 , 116.15平米 ,120人关注 , 共5次带看 , 一年前发布,1050,单价90401元/平米,https://sh.lianjia.com/ershoufang/107000220177.html,徐汇,2
东方花园，对口西校，精装两房，厅南北通透,东方花园(一期) , 2室2厅 , 82.26平米 ,44人关注 , 共12次带看 , 8个月以前发布,465,单价56529元/平米,https://sh.lianjia.com/ershoufang/107002222017.html,闵行,2
近合川路地铁口 04年商品房 高层电梯房 满五唯一,九歌茗园 , 2室2厅 , 93.2平米 ,215人关注 , 共17次带看 , 5个月以前发布,640,单价68670元/平米,https://sh.lianjia.com/ershoufang/107002306385.html,闵行,2
房东已经看好外区的房子现诚意出售此房源，看房有钥匙,新梅公寓 , 2室2厅 , 92.17平米 ,23人关注 , 共16次带看 , 5个月以前发布,510,单价55333元/平米,https://sh.lianjia.com/ershoufang/107002307491.html,闵行,2
宝虹公寓 3室2厅 775万,宝虹公寓 , 3室2厅 , 133.25平米 ,27人关注 , 共13次带看 , 3个月以前发布,775,单价58162元/平米,https://sh.lianjia.com/ershoufang/107100053275.html,闵行,2
小区中/心，中区三房，装修保养好，随时看房，诚售！,中环一号(一期) , 3室2厅 , 116.38平米 ,57人关注 , 共7次带看 , 3个月以前发布,625,单价53704元/平米,https://sh.lianjia.com/ershoufang/107100066814.html,宝山,2
两房朝南，满五唯一，近地铁，中间楼层,康桥水都(公寓) , 2室2厅 , 74.39平米 ,221人关注 , 共27次带看 , 一年前发布,305,单价41001元/平米,https://sh.lianjia.com/ershoufang/107002058705.html,宝山,2
新二路馨良苑 一手动迁 一梯两户 产权清晰  车位充足,馨良苑 , 2室2厅 , 82.61平米 ,108人关注 , 共10次带看 , 一年前发布,408,单价49389元/平米,https://sh.lianjia.com/ershoufang/107002027957.html,宝山,2
满五唯一，多层4楼，钥匙房随时看，业主诚意出售,梧桐城邦(二期) , 2室2厅 , 85.55平米 ,109人关注 , 共18次带看 , 7个月以前发布,488,单价57043元/平米,https://sh.lianjia.com/ershoufang/107002251547.html,宝山,2
海尚明城 精装一房 楼层好 无噪音 诚意出售 生活方便,海尚明城 , 1室2厅 , 60.17平米 ,33人关注 , 共29次带看 , 1个月以前发布,245,单价40718元/平米,https://sh.lianjia.com/ershoufang/107100286678.html,宝山,2
南华苑 3室2厅 620万,南华苑 , 3室2厅 , 124.01平米 ,11人关注 , 共0次带看 , 19天以前发布,620,单价49996元/平米,https://sh.lianjia.com/ershoufang/107100368945.html,宝山,2
紧靠地铁站9号线，配套设施齐全，户型紧凑。得房率高,人乐二村 , 2室1厅 , 51.3平米 ,67人关注 , 共0次带看 , 8个月以前发布,180,单价35088元/平米,https://sh.lianjia.com/ershoufang/107002213935.html,松江,2
精装修保养好  视野开阔  满五唯一税费少  置换好选择,绿地蔷薇九里(公寓) , 3室2厅 , 109.68平米 ,37人关注 , 共1次带看 , 7个月以前发布,475,单价43308元/平米,https://sh.lianjia.com/ershoufang/107002258821.html,松江,2
三房朝南房型，楼层好，带转角阳台采光好，看房随时。,奥林匹克花园 , 3室2厅 , 125.44平米 ,142人关注 , 共2次带看 , 5个月以前发布,550,单价43846元/平米,https://sh.lianjia.com/ershoufang/107002329405.html,松江,2
九号线.新凯家园精装两室，诚意出售，提前预约可看房,新凯一期 , 2室2厅 , 77.99平米 ,60人关注 , 共10次带看 , 2个月以前发布,286,单价36672元/平米,https://sh.lianjia.com/ershoufang/107100223306.html,松江,2
业主诚心买，总价低，单价低，价格还可以谈。,鸿宝一村(南区) , 2室1厅 , 56.31平米 ,111人关注 , 共2次带看 , 5个月以前发布,175,单价31078元/平米,https://sh.lianjia.com/ershoufang/107000676767.html,奉贤,2
二期电梯房 可看苏州河 户型少 方正明厨明卫 诚意出售,康泰公寓 , 3室2厅 , 105.85平米 ,4人关注 , 共0次带看 , 18天以前发布,870,单价82192元/平米,https://sh.lianjia.com/ershoufang/107100370681.html,普陀,2
不靠高架，正对环球港，地铁欧式花园，经典南北通户型,沙田新苑 , 3室2厅 , 143.12平米 ,5人关注 , 共0次带看 , 16天以前发布,998,单价69732元/平米,https://sh.lianjia.com/ershoufang/107100376980.html,普陀,2
高档电梯房小区、地铁3.4.13号、拎包入住、,恒陇丽晶公寓 , 2室1厅 , 75.58平米 ,14人关注 , 共3次带看 , 6天以前发布,660,单价87325元/平米,https://sh.lianjia.com/ershoufang/107100405296.html,普陀,2
两房朝南，仅此一套，看房方便，看小区花园，莫错过,新湖明珠城 , 3室2厅 , 140.46平米 ,126人关注 , 共49次带看 , 一年前发布,1120,单价79739元/平米,https://sh.lianjia.com/ershoufang/107001783381.html,普陀,2
特/殊上下两层一本产证的六房四厅,黄浦众鑫城 , 6室4厅 , 284.34平米 ,69人关注 , 共3次带看 , 一年前发布,2400,单价84406元/平米,https://sh.lianjia.com/ershoufang/107000161323.html,黄浦,2
急降120万精装修赠8平米和全套家私家电地铁4/8号线,新中苑 , 2室2厅 , 116.01平米 ,53人关注 , 共1次带看 , 一年前发布,930,单价80166元/平米,https://sh.lianjia.com/ershoufang/107000449313.html,黄浦,2
人民广场 高区电梯两房 南北通户型 满五税少 看房随时,重新小区 , 2室1厅 , 54.13平米 ,98人关注 , 共0次带看 , 一年前发布,425,单价78515元/平米,https://sh.lianjia.com/ershoufang/107001014055.html,黄浦,2
单价蕞低，小区旁边就是蓬/莱/二/小，蕞便宜产权房,蓬莱路252弄 , 1室1厅 , 53.14平米 ,121人关注 , 共2次带看 , 一年前发布,380,单价71510元/平米,https://sh.lianjia.com/ershoufang/107001311711.html,黄浦,2
小区中间位置 楼层好 户型佳 南北通透 满五年,康桥月苑 , 2室1厅 , 72.27平米 ,22人关注 , 共1次带看 , 17天以前发布,295,单价40820元/平米,https://sh.lianjia.com/ershoufang/107100373749.html,浦东,3
南北通透满五年个税有三分之一 价格还以商量 诚心出售,日月星城 , 2室2厅 , 86.56平米 ,12人关注 , 共5次带看 , 16天以前发布,368,单价42514元/平米,https://sh.lianjia.com/ershoufang/107100377281.html,浦东,3
江南山水两房楼层可以业主诚意出售,江南山水 , 2室2厅 , 95.48平米 ,11人关注 , 共1次带看 , 15天以前发布,620,单价64936元/平米,https://sh.lianjia.com/ershoufang/107100378536.html,浦东,3
业主自住看房方便 诚意出售 可看世纪公园全景!,浦东世纪花园(公寓) , 3室2厅 , 181.7平米 ,147人关注 , 共6次带看 , 一年前发布,1560,单价85856元/平米,https://sh.lianjia.com/ershoufang/107000094939.html,浦东,3
全屋精装带空调、房东诚售，看房提前约,静鼎安邦府邸(公寓) , 4室2厅 , 268.24平米 ,63人关注 , 共1次带看 , 一年前发布,2580,单价96183元/平米,https://sh.lianjia.com/ershoufang/107000107035.html,静安,2
四和居委，随时可用，采光不挡，房型方正，交通便利！,四和花园 , 3室1厅 , 94.63平米 ,53人关注 , 共2次带看 , 一年前发布,835,单价88239元/平米,https://sh.lianjia.com/ershoufang/107001692233.html,静安,2
申银发展大厦(公寓) 3室2厅 950万,申银发展大厦(公寓) , 3室2厅 , 140.73平米 ,33人关注 , 共4次带看 , 5个月以前发布,950,单价67506元/平米,https://sh.lianjia.com/ershoufang/107001716069.html,静安,2
房型方正，电梯房，地处南京西路商圈,德义大楼 , 1室1厅 , 60.99平米 ,56人关注 , 共1次带看 , 一年前发布,610,单价100017元/平米,https://sh.lianjia.com/ershoufang/107001845403.html,静安,2
四和花园总价低的两房+售后公房价位可谈可看房,四和花园 , 2室1厅 , 74.14平米 ,19人关注 , 共1次带看 , 一年前发布,720,单价97114元/平米,https://sh.lianjia.com/ershoufang/107001952883.html,静安,2
五轨相交，满五唯一，万科物业，俯瞰苏州河,卓悦居 , 2室2厅 , 90.55平米 ,75人关注 , 共24次带看 , 1个月以前发布,790,单价87245元/平米,https://sh.lianjia.com/ershoufang/107100320159.html,闸北,2
稀-缺电梯房，南北通正气两房，满五唯一，诚意出售！,永乐苑 , 2室1厅 , 93.24平米 ,33人关注 , 共5次带看 , 6个月以前发布,698,单价74861元/平米,https://sh.lianjia.com/ershoufang/107000288599.html,闸北,2
洋房出售，满五年唯一，看房有钥匙，房型正气,锦灏佳园 , 3室2厅 , 133.67平米 ,9人关注 , 共1次带看 , 一年前发布,1200,单价89774元/平米,https://sh.lianjia.com/ershoufang/107000512409.html,闸北,2
人车分流精装修电梯一梯两户商品房房型正气楼层采光好,三泉家园 , 2室2厅 , 92.66平米 ,50人关注 , 共1次带看 , 9个月以前发布,540,单价58278元/平米,https://sh.lianjia.com/ershoufang/107000543811.html,闸北,2
全南小三房，精装修，采光无遮挡95平米665万,安源小区 , 3室1厅 , 95平米 ,85人关注 , 共2次带看 , 一年前发布,665,单价70000元/平米,https://sh.lianjia.com/ershoufang/107000590887.html,闸北,2
浣纱六村+黄兴公园+近地铁8号线+双南,浣纱六村 , 2室1厅 , 76.84平米 ,60人关注 , 共2次带看 , 9个月以前发布,480,单价62468元/平米,https://sh.lianjia.com/ershoufang/107002162999.html,杨浦,2
怡佳苑，小区中层，采光好，近黄兴公园,怡佳苑 , 2室1厅 , 64.76平米 ,80人关注 , 共2次带看 , 9个月以前发布,378,单价58370元/平米,https://sh.lianjia.com/ershoufang/107002181003.html,杨浦,2
降价20万满五唯一，楼层佳位置好，地铁8号线诚意出售,宏翔公寓 , 3室2厅 , 113.55平米 ,113人关注 , 共4次带看 , 9个月以前发布,650,单价57244元/平米,https://sh.lianjia.com/ershoufang/107002184917.html,杨浦,2
工农三村 世博小区 地铁  双南户型 南北通风,工农三村 , 2室1厅 , 69.42平米 ,70人关注 , 共1次带看 , 8个月以前发布,386,单价55604元/平米,https://sh.lianjia.com/ershoufang/107002214035.html,杨浦,2
楼层好，边套采光好，小区中间位置，地铁300米,幸福公寓 , 2室1厅 , 48.86平米 ,45人关注 , 共3次带看 , 7个月以前发布,325,单价66517元/平米,https://sh.lianjia.com/ershoufang/107002248373.html,杨浦,2
14号线地铁沿线，品质小区，繁华地段，交通便利,嘉善坊 , 3室1厅 , 77.09平米 ,42人关注 , 共7次带看 , 一年前发布,345,单价44753元/平米,https://sh.lianjia.com/ershoufang/107001937431.html,嘉定,2
满五唯一，无个税，全南两房格局好，楼层好，全明户型,江桥三村 , 2室1厅 , 68.79平米 ,8人关注 , 共7次带看 , 一年前发布,280,单价40704元/平米,https://sh.lianjia.com/ershoufang/107001991541.html,嘉定,2
上隽嘉苑(公寓) 2室2厅 350万,上隽嘉苑(公寓) , 2室2厅 , 87.6平米 ,152人关注 , 共3次带看 , 一年前发布,350,单价39955元/平米,https://sh.lianjia.com/ershoufang/107002052239.html,嘉定,2
民主街24弄 总价低 精装两房 带天井 近地铁 古漪园,民主街24弄 , 2室1厅 , 55平米 ,59人关注 , 共2次带看 , 一年前发布,226,单价41091元/平米,https://sh.lianjia.com/ershoufang/107002055739.html,嘉定,2
近地铁  总价低 满五唯一 居家装修 交通便利 出行便利,大宅风范城 , 2室2厅 , 92.68平米 ,98人关注 , 共1次带看 , 10个月以前发布,385,单价41541元/平米,https://sh.lianjia.com/ershoufang/107002128691.html,嘉定,2
多层复式房，满五唯一，诚心出售，地铁13号线沿线,汇丰佳苑 , 4室3厅 , 140平米 ,93人关注 , 共4次带看 , 9个月以前发布,640,单价45715元/平米,https://sh.lianjia.com/ershoufang/107002155433.html,嘉定,2
江桥二村，总价低，地铁房，教学质量高，税费少,江桥二村 , 2室1厅 , 65.89平米 ,53人关注 , 共4次带看 , 9个月以前发布,260,单价39460元/平米,https://sh.lianjia.com/ershoufang/107002178723.html,嘉定,2
好楼层，2房朝南，1房朝北，客厅朝南，带储藏室20平,市中路72弄 , 3室2厅 , 115.81平米 ,17人关注 , 共1次带看 , 2个月以前发布,156,单价13471元/平米,https://sh.lianjia.com/ershoufang/107100158482.html,金山,2
精装小户型，采光好南北通透，小区配套齐全，产证满五,石化八村 , 2室1厅 , 48.48平米 ,15人关注 , 共2次带看 , 1个月以前发布,80,单价16502元/平米,https://sh.lianjia.com/ershoufang/107100311231.html,金山,2
采光优秀 温馨之家 好房好心情 幸福之家,飞虹南村 , 4室2厅 , 127平米 ,4人关注 , 共0次带看 , 一年前发布,180,单价14174元/平米,https://sh.lianjia.com/ershoufang/107001645121.html,金山,2
隆亭家园 特推 大平急卖 房型正气 采光好 价格好谈,隆亭家园 , 3室2厅 , 133.9平米 ,2人关注 , 共0次带看 , 8个月以前发布,200,单价14937元/平米,https://sh.lianjia.com/ershoufang/107001962671.html,金山,2
看小区花园四季景观 看房提前预约,仁恒河滨花园 , 4室2厅 , 151.89平米 ,193人关注 , 共0次带看 , 9个月以前发布,1500,单价98756元/平米,https://sh.lianjia.com/ershoufang/107000086081.html,长宁,2
位置好，闹中取静，业主诚意出售，看房方便,天山怡景苑 , 2室1厅 , 89平米 ,374人关注 , 共0次带看 , 6个月以前发布,750,单价84270元/平米,https://sh.lianjia.com/ershoufang/107000115675.html,长宁,2
古北国际花园 2室2厅 1350万,古北国际花园 , 2室2厅 , 147.06平米 ,61人关注 , 共0次带看 , 一年前发布,1350,单价91800元/平米,https://sh.lianjia.com/ershoufang/107000250061.html,长宁,2
满五唯一 南北套 中山公园地铁 交通便利 配套好,圣约翰名邸 , 3室2厅 , 145.09平米 ,131人关注 , 共0次带看 , 一年前发布,1200,单价82708元/平米,https://sh.lianjia.com/ershoufang/107000366291.html,长宁,2
繁华地段 中间楼层 对口天山一.小 地铁房 南北通急售,天山二村 , 2室0厅 , 58.94平米 ,40人关注 , 共0次带看 , 一年前发布,470,单价79743元/平米,https://sh.lianjia.com/ershoufang/107000935903.html,长宁,2
中山公园板块小三房户型，地段好，交通好。,遵义小区 , 3室0厅 , 69.59平米 ,78人关注 , 共0次带看 , 一年前发布,450,单价64665元/平米,https://sh.lianjia.com/ershoufang/107001116343.html,长宁,2
南辉小区 2室1厅 535万,南辉小区 , 2室1厅 , 57.55平米 ,27人关注 , 共0次带看 , 一年前发布,535,单价92963元/平米,https://sh.lianjia.com/ershoufang/107002045545.html,长宁,2
青水湾公寓 2室2厅 340万,青水湾公寓 , 2室2厅 , 98.5平米 ,18人关注 , 共0次带看 , 9个月以前发布,340,单价34518元/平米,https://sh.lianjia.com/ershoufang/107002145863.html,青浦,1
万科尚景苑(公寓) 2室2厅 280万,万科尚景苑(公寓) , 2室2厅 , 80.85平米 ,34人关注 , 共0次带看 , 9个月以前发布,280,单价34633元/平米,https://sh.lianjia.com/ershoufang/107002169513.html,青浦,2
房东诚意出售，房子新，楼层好。,绿舟星城 , 2室2厅 , 90.96平米 ,31人关注 , 共0次带看 , 2个月以前发布,125,单价13743元/平米,https://sh.lianjia.com/ershoufang/107100235591.html,崇明,2
唯一在卖稀却南北通三房 小高层带电梯低总价得房率高,绿地瀛洲名邸 , 3室2厅 , 86.79平米 ,0人关注 , 共0次带看 , 1个月以前发布,318,单价36641元/平米,https://sh.lianjia.com/ershoufang/107100252516.html,崇明,2
常发香城湾 2室1厅 150万,常发香城湾 , 2室1厅 , 79.05平米 ,16人关注 , 共0次带看 , 10个月以前发布,150,单价18976元/平米,https://sh.lianjia.com/ershoufang/107002133573.html,上海周边,2
环境优美，户型正气，交通便利，配套齐全,纳帕尔湾 , 4室2厅 , 264.04平米 ,0人关注 , 共0次带看 , 9个月以前发布,480,单价18180元/平米,https://sh.lianjia.com/ershoufang/107002150565.html,上海周边,2
小区新，交通方便，近地铁，配套全，学.区好,常发香城湾 , 2室2厅 , 93.44平米 ,5人关注 , 共0次带看 , 9个月以前发布,180,单价19264元/平米,https://sh.lianjia.com/ershoufang/107002172213.html,上海周边,2
淀湖鹿鸣九里 1室1厅 75万,淀湖鹿鸣九里 , 1室1厅 , 49.51平米 ,0人关注 , 共0次带看 , 7个月以前发布,75,单价15149元/平米,https://sh.lianjia.com/ershoufang/107002235273.html,上海周边,2
带190平米露台，视野开阔，少见户型！明星楼盘！,徐家汇花园 , 4室2厅 , 195.53平米 ,62人关注 , 共3次带看 , 10个月以前发布,1850,单价94615元/平米,https://sh.lianjia.com/ershoufang/107000220279.html,徐汇,2
70.45平、精装修总价低、单价低、田林板块的电梯两房,田林新苑 , 2室1厅 , 70.31平米 ,232人关注 , 共5次带看 , 一年前发布,450,单价64003元/平米,https://sh.lianjia.com/ershoufang/107001272915.html,徐汇,2
宜山路701弄超BIG天井，随时看房,宜山路701弄 , 2室1厅 , 69平米 ,156人关注 , 共3次带看 , 一年前发布,400,单价57972元/平米,https://sh.lianjia.com/ershoufang/107001299385.html,徐汇,2
一梯两户两南一北，对口求知，近漕宝路日月光,漕溪四村 , 3室1厅 , 73.74平米 ,105人关注 , 共1次带看 , 一年前发布,580,单价78655元/平米,https://sh.lianjia.com/ershoufang/107001981617.html,徐汇,2
薛家宅小区 3室1厅 475万,薛家宅小区 , 3室1厅 , 65.51平米 ,44人关注 , 共2次带看 , 10个月以前发布,475,单价72509元/平米,https://sh.lianjia.com/ershoufang/107002137821.html,徐汇,2
房东非     常诚意   钥匙交给我了   总价低,罗秀三村 , 1室1厅 , 33.37平米 ,101人关注 , 共4次带看 , 9个月以前发布,195,单价58436元/平米,https://sh.lianjia.com/ershoufang/107002180865.html,徐汇,2
房型正气，南北通透，小区人气旺盛，适合家人居住。,万科阳光苑 , 3室2厅 , 88.31平米 ,34人关注 , 共14次带看 , 3个月以前发布,376,单价42578元/平米,https://sh.lianjia.com/ershoufang/107100135092.html,闵行,2
满五年税费少，装修时尚+简约范+中间楼层，随时看房,海申花园 , 2室2厅 , 77.7平米 ,121人关注 , 共15次带看 , 3个月以前发布,470,单价60490元/平米,https://sh.lianjia.com/ershoufang/107100138617.html,闵行,2
近水楼台先得月 满五唯一 房改售房 总价低 税费少,航华二村梧柏小区 , 2室1厅 , 61.87平米 ,8人关注 , 共0次带看 , 10天以前发布,265,单价42832元/平米,https://sh.lianjia.com/ershoufang/107100391735.html,闵行,2
